AppID,Camera,Location,Contacts,Microphone,Storage,SMS,CallLogs,Bluetooth,Calendar,PhoneState,Internet,ReadPhoneNumbers
SOC0034,0,0,1,1,1,0,0,0,0,0,1,0
SOC0035,0,1,1,1,1,1,1,0,1,1,1,0
SOC0036,0,0,1,1,1,0,0,0,0,0,1,0
SOC0037,1,0,1,1,1,0,0,0,0,0,1,0
SOC0038,1,1,0,1,0,1,1,0,0,1,0,1
SOC0039,0,1,1,1,1,0,0,0,1,0,1,0
SOC0040,1,1,1,0,0,1,0,1,0,0,1,1
SOC0041,1,0,1,0,0,0,0,0,0,0,1,0
SOC0042,0,1,1,1,1,1,1,1,1,0,0,1
SOC0043,1,0,1,1,1,0,0,0,0,0,1,0
SOC0044,1,0,1,0,0,0,0,0,0,0,1,0
SOC0045,1,0,1,0,1,0,0,0,0,0,1,0
SOC0046,1,1,1,0,1,1,0,1,0,0,0,1
SOC0047,1,1,1,1,0,1,1,1,0,0,0,1
SOC0048,1,0,1,0,1,0,0,1,0,0,1,0
SOC0049,0,0,1,1,0,0,0,0,0,0,1,0
SOC0050,1,1,1,1,1,0,0,0,0,0,1,0
SOC0051,1,0,1,1,1,0,0,0,0,0,1,0
SOC0052,1,1,1,0,1,0,1,1,1,1,0,0
SOC0053,1,0,1,0,1,1,0,0,0,0,1,0
SOC0054,1,0,1,1,0,1,1,1,1,1,1,1
SOC0055,0,1,0,1,0,0,1,1,0,0,0,1
SOC0056,1,1,1,1,1,0,1,1,0,1,0,1
SOC0057,0,0,1,0,1,0,0,0,0,0,1,0
SOC0058,1,0,1,1,1,0,0,0,0,0,1,0
SOC0059,1,0,1,1,1,0,0,0,0,0,1,0
SOC0060,1,1,1,0,1,0,0,0,0,0,0,0
SOC0061,1,0,1,1,1,0,0,0,0,0,1,0
SOC0062,0,0,1,1,1,1,0,0,0,0,1,0
SOC0063,0,0,1,1,1,0,1,1,1,1,1,1
SOC0064,1,1,1,1,0,0,1,0,0,1,0,0
SOC0065,1,0,1,1,1,0,0,0,0,0,1,0
SOC0066,1,0,1,1,1,0,0,0,0,0,0,0
SOC0067,0,0,1,1,0,1,1,0,1,0,1,1
SOC0068,1,0,1,0,1,0,0,0,0,0,0,0
SOC0069,1,0,0,1,1,0,0,0,0,0,1,0
SOC0070,1,0,1,1,1,0,0,0,0,1,1,0
SOC0071,1,1,0,0,0,1,1,0,1,1,1,1
SOC0072,0,0,1,1,1,0,0,0,0,0,1,0
SOC0073,1,1,1,0,0,1,1,1,1,0,0,0
SOC0074,1,0,0,0,1,0,0,0,0,0,1,0
SOC0075,1,1,1,1,1,0,0,0,0,1,1,1
SOC0076,1,0,1,1,1,0,0,0,0,0,1,0
SOC0077,1,0,1,1,1,0,0,0,0,0,1,0
SOC0078,1,1,1,1,0,1,0,0,0,0,0,1
SOC0079,1,1,1,1,1,1,1,0,0,0,1,1
SOC0080,1,0,1,1,1,0,0,1,1,0,1,0
SOC0081,1,0,1,1,0,0,0,1,0,0,1,1
SOC0082,1,0,1,0,1,1,1,1,0,0,0,1
SOC0083,1,0,1,1,1,0,0,0,0,0,1,0
SOC0084,0,1,0,1,1,1,1,0,1,0,1,1
SOC0085,1,0,1,1,1,0,0,0,0,0,1,0
SOC0086,1,0,1,1,1,0,0,0,0,0,0,0
SOC0087,0,0,1,1,1,0,0,0,0,0,1,0
SOC0088,0,0,1,1,1,0,0,0,0,0,1,0
SOC0089,0,1,1,0,0,1,1,0,1,0,1,1
SOC0090,1,1,1,1,1,0,1,0,1,1,1,1
SOC0091,1,0,1,0,0,0,0,0,0,0,1,0
SOC0092,1,1,0,1,0,1,0,1,0,1,1,1
SOC0093,1,0,1,1,1,0,0,0,0,0,1,0
SOC0094,0,0,1,1,1,0,0,0,1,1,1,1
SOC0095,1,0,1,1,0,0,1,0,0,0,0,0
SOC0096,1,0,0,1,1,0,0,0,0,0,1,0
SOC0097,1,0,1,0,0,0,0,1,0,1,0,1
SOC0098,0,1,0,1,1,0,0,0,0,0,1,0
SOC0099,1,0,1,1,1,0,0,0,0,1,1,1
SOC0100,1,0,1,1,1,0,0,1,1,0,1,0
SOC0101,1,1,1,1,1,1,1,1,0,1,0,0
SOC0102,1,0,1,1,1,1,1,1,1,1,1,1
SOC0103,1,0,1,1,1,0,0,0,0,0,1,0
SOC0104,1,0,1,1,1,0,0,0,0,0,1,0
SOC0105,1,1,1,1,1,1,0,0,0,1,0,1
SOC0106,1,0,1,0,1,0,0,0,0,0,1,0
SOC0107,1,0,1,1,0,0,0,0,0,0,1,1
SOC0108,1,0,1,0,0,1,1,1,0,0,0,0
SOC0109,1,1,1,1,1,1,1,0,1,1,0,1
SOC0110,1,1,0,1,1,1,1,0,1,1,0,1
SOC0111,1,1,0,1,0,0,0,1,1,0,1,1
SOC0112,1,0,0,1,1,0,0,0,0,0,1,0
SOC0113,1,0,1,1,0,0,0,0,0,0,0,1
SOC0114,1,1,0,1,1,0,1,1,1,0,0,1
SOC0115,1,1,1,0,0,0,0,0,0,0,1,0
SOC0116,0,0,0,1,0,0,0,0,0,0,1,0
SOC0117,1,0,1,1,1,0,0,0,0,0,0,0
SOC0118,1,1,1,1,0,1,0,0,0,1,0,0
SOC0119,1,0,1,1,1,0,0,0,0,0,1,0
SOC0120,1,0,0,0,0,1,0,0,0,0,1,0
SOC0121,1,0,1,1,0,0,0,0,0,0,1,0
SOC0122,1,1,1,1,0,1,1,0,1,1,0,0
SOC0123,1,1,0,0,1,1,1,0,0,0,1,1
SOC0124,1,0,1,1,0,0,1,0,0,0,1,0
SOC0125,1,0,1,0,1,1,0,0,0,0,1,0
SOC0126,1,1,1,1,1,1,1,0,0,1,1,1
SOC0127,1,0,0,1,1,0,0,0,0,0,1,0
SOC0128,1,0,1,1,1,0,0,0,0,1,0,0
SOC0129,0,0,1,0,0,0,1,1,0,0,1,1
SOC0130,1,1,1,0,1,0,1,1,1,0,1,1
SOC0131,1,0,0,0,0,0,0,0,0,1,1,0
SOC0132,1,0,1,1,1,0,0,0,0,0,0,0
SOC0133,1,1,0,0,1,1,0,0,1,1,1,0
SOC0134,0,0,1,1,1,0,0,0,0,0,1,0
SOC0135,1,0,1,1,0,0,0,1,0,0,1,0
SOC0136,0,1,1,1,0,1,1,1,0,0,0,0
SOC0137,0,0,1,0,0,0,0,0,0,1,1,0
SOC0138,0,0,1,1,1,0,0,0,0,0,1,0
SOC0139,1,0,1,0,1,0,0,0,0,0,1,0
SOC0140,1,0,1,1,1,0,0,0,0,0,1,0
SOC0141,1,1,0,1,0,1,1,0,0,1,1,1
SOC0142,1,0,0,0,1,0,0,0,0,1,0,0
SOC0143,1,1,1,1,0,0,1,1,1,0,1,0
SOC0144,0,0,1,1,0,0,0,0,1,0,1,0
SOC0145,1,1,1,0,1,0,1,1,0,0,1,0
SOC0146,1,1,0,1,1,1,1,1,0,0,0,1
SOC0147,1,1,1,1,0,1,0,1,1,1,1,1
SOC0148,0,0,1,1,1,0,1,1,0,1,1,1
SOC0149,1,1,1,1,1,1,1,0,1,1,1,1
SOC0150,1,0,0,1,1,0,0,0,0,0,0,0
SOC0151,1,0,1,1,1,0,0,0,0,0,1,0
SOC0152,1,0,1,0,1,0,0,0,0,0,1,0
SOC0153,1,1,1,0,1,0,0,0,0,0,1,0
SOC0154,1,0,1,1,1,1,0,0,0,0,1,0
SOC0155,1,0,1,1,1,0,0,0,0,0,0,0
SOC0156,1,0,1,1,1,0,0,0,0,0,1,0
SOC0157,1,1,1,1,0,1,1,0,0,1,1,1
SOC0158,1,0,1,1,1,0,0,0,1,0,1,0
SOC0159,1,0,1,1,0,0,0,1,0,0,1,0
SOC0160,1,0,1,1,1,0,0,0,0,0,1,0
SOC0161,1,0,1,1,1,0,0,0,0,0,1,0
SOC0162,1,0,1,1,1,0,0,0,0,0,1,0
SOC0163,1,1,0,1,0,1,1,0,1,0,1,0
SOC0164,1,0,1,1,1,0,0,0,0,0,1,0
SOC0165,1,0,1,1,0,0,0,0,0,0,1,0
SOC0166,1,1,1,1,0,1,1,1,0,0,1,1
SOC0167,1,0,0,0,0,0,0,0,0,0,1,0
SOC0168,1,0,1,1,1,0,0,0,0,0,1,0
SOC0169,1,0,0,1,1,0,1,0,1,1,0,1
SOC0170,1,0,1,1,1,0,0,0,0,0,1,1
SOC0171,1,0,1,1,1,0,0,1,0,0,1,0
SOC0172,1,0,1,1,1,0,0,0,0,0,1,0
SOC0173,0,0,1,0,0,0,0,0,0,0,1,1
SOC0174,0,0,1,1,1,0,0,0,0,0,1,0
SOC0175,1,0,0,1,1,0,0,0,0,0,1,0
SOC0176,1,0,0,1,1,0,0,0,1,0,1,0
SOC0177,1,0,1,1,1,1,1,0,0,0,0,1
SOC0178,1,0,1,1,1,0,0,0,0,0,1,0
SOC0179,1,0,0,1,1,0,0,0,0,0,0,0
SOC0180,1,0,1,1,1,0,0,0,0,0,0,0
SOC0181,1,1,0,1,0,0,0,0,1,0,0,1
SOC0182,0,1,1,1,0,1,1,0,1,1,0,1
SOC0183,1,0,1,1,1,0,0,1,0,0,1,0
SOC0184,1,1,1,1,1,1,1,0,0,0,0,0
SOC0185,1,1,0,1,1,0,0,0,0,0,0,0
SOC0186,1,1,1,1,1,0,1,0,0,1,1,1
SOC0187,1,0,1,1,1,0,0,0,0,0,1,1
SOC0188,1,0,1,0,0,0,0,0,0,0,1,0
SOC0189,0,0,1,1,1,0,1,0,0,0,0,0
SOC0190,1,1,1,1,0,1,1,0,0,0,1,1
SOC0191,1,1,1,1,1,0,1,1,1,0,1,1
SOC0192,1,1,1,0,0,1,0,0,1,0,0,0
SOC0193,1,0,1,1,0,1,1,1,0,1,0,1
SOC0194,0,0,1,1,0,0,0,0,0,0,1,0
SOC0195,1,0,0,1,1,0,0,0,0,0,1,0
SOC0196,0,0,1,1,0,1,1,1,1,0,0,0
SOC0197,1,0,0,1,1,0,0,0,0,0,1,0
SOC0198,1,0,1,1,1,0,0,0,0,0,1,1
SOC0199,0,0,1,0,0,0,0,0,0,1,0,0
SOC0200,0,1,0,1,0,1,1,1,0,1,1,1
