AppID,AppName,Category,Camera,Location,Contacts,Microphone,Storage,SMS,CallLogs,Bluetooth,Calendar,PhoneState,Internet,ReadPhoneNumbers,PrivacyRiskScore,TrueLabel,NoisyLabel,LabelFlipped
SOC0151,VividTalk,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0152,MegaMeet,Social,1,0,1,0,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0153,BlueConnect,Social,1,1,1,0,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0154,ProSpace,Social,1,0,1,1,1,1,0,0,0,0,1,0,0.526,Benign,Benign,No
SOC0155,QuickNest,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0156,GoHub,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0157,FluxWave,Social,1,1,1,1,0,1,1,0,0,1,1,1,0.842,Malicious,Malicious,No
SOC0158,ZenChat,Social,1,0,1,1,1,0,0,0,1,0,1,0,0.474,Benign,Benign,No
SOC0159,VibeSocial,Social,1,0,1,1,0,0,0,1,0,0,1,0,0.421,Benign,Benign,No
SOC0160,SmartMeet,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0161,NimbusLink,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0162,ProConnect,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0163,HaloHub,Social,1,1,0,1,0,1,1,0,1,0,1,0,0.632,Malicious,Malicious,No
SOC0164,OrbitStream,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0165,FastSocial,Social,1,0,1,1,0,0,0,0,0,0,1,0,0.368,Benign,Malicious,Yes
SOC0166,BuzzVibe,Social,1,1,1,1,0,1,1,1,0,0,1,1,0.842,Malicious,Malicious,No
SOC0167,SparkSpace,Social,1,0,0,0,0,0,0,0,0,0,1,0,0.158,Benign,Benign,No
SOC0168,NeoChat,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0169,FastHub,Social,1,0,0,1,1,0,1,0,1,1,0,1,0.579,Malicious,Malicious,No
SOC0170,UltraWave,Social,1,0,1,1,1,0,0,0,0,0,1,1,0.526,Benign,Benign,No
SOC0171,ZenConnect,Social,1,0,1,1,1,0,0,1,0,0,1,0,0.474,Benign,Benign,No
SOC0172,DriftTalk,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0173,SmartNest,Social,0,0,1,0,0,0,0,0,0,0,1,1,0.263,Benign,Benign,No
SOC0174,BlueSpace,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0175,NeoStream,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0176,OrbitBuddy,Social,1,0,0,1,1,0,0,0,1,0,1,0,0.368,Benign,Benign,No
SOC0177,SparkFeed,Social,1,0,1,1,1,1,1,0,0,0,0,1,0.684,Malicious,Malicious,No
SOC0178,BrightConnect,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0179,SnapConnect,Social,1,0,0,1,1,0,0,0,0,0,0,0,0.263,Benign,Benign,No
SOC0180,PixelGrid,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0181,EchoSpace,Social,1,1,0,1,0,0,0,0,1,0,0,1,0.474,Malicious,Malicious,No
SOC0182,DailyFeed,Social,0,1,1,1,0,1,1,0,1,1,0,1,0.737,Malicious,Malicious,No
SOC0183,SimplePals,Social,1,0,1,1,1,0,0,1,0,0,1,0,0.474,Benign,Benign,No
SOC0184,VibeSpace,Social,1,1,1,1,1,1,1,0,0,0,0,0,0.684,Malicious,Malicious,No
SOC0185,FunVibe,Social,1,1,0,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0186,BuzzWave,Social,1,1,1,1,1,0,1,0,0,1,1,1,0.789,Malicious,Malicious,No
SOC0187,GoLink,Social,1,0,1,1,1,0,0,0,0,0,1,1,0.526,Benign,Benign,No
SOC0188,DailyBuddy,Social,1,0,1,0,0,0,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0189,PixelConnect,Social,0,0,1,1,1,0,1,0,0,0,0,0,0.368,Benign,Benign,No
SOC0190,DailyShare,Social,1,1,1,1,0,1,1,0,0,0,1,1,0.789,Malicious,Malicious,No
SOC0191,DriftChat,Social,1,1,1,1,1,0,1,1,1,0,1,1,0.842,Malicious,Malicious,No
SOC0192,ChirpMeet,Social,1,1,1,0,0,1,0,0,1,0,0,0,0.474,Malicious,Malicious,No
SOC0193,PixelTalk,Social,1,0,1,1,0,1,1,1,0,1,0,1,0.737,Malicious,Benign,Yes
SOC0194,MegaConnect,Social,0,0,1,1,0,0,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0195,PrimeFeed,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Malicious,Yes
SOC0196,FastWave,Social,0,0,1,1,0,1,1,1,1,0,0,0,0.526,Malicious,Malicious,No
SOC0197,ProStream,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Malicious,Yes
SOC0198,SmartPost,Social,1,0,1,1,1,0,0,0,0,0,1,1,0.526,Benign,Benign,No
SOC0199,LoopFeed,Social,0,0,1,0,0,0,0,0,0,1,0,0,0.158,Benign,Benign,No
SOC0200,DriftSocial,Social,0,1,0,1,0,1,1,1,0,1,1,1,0.684,Malicious,Malicious,No
